# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,361,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 11:57:42,2018-03-12 12:12:43,00:15:00,Exceeded Temperature Threshold,
FAIL,nand_component/Storage 8049 GBB Count Check/1,362,Storage 8049 GBB Count Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 13:53:15,2018-03-12 13:53:16,00:00:01,Too many SMART Grown Bad Blocks (GBB) reported,
FAIL,nand_component/Storage 3559 NVMe Debug Log 4 Check/1,363,Storage 3559 NVMe Debug Log 4 Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 13:54:50,2018-03-12 13:54:51,00:00:01,Test Failed: Attribute upper limit exceeded,
FAIL,nand_component/Storage 8049 GBB Count Check/1,364,Storage 8049 GBB Count Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:32:08,2018-03-12 17:32:09,00:00:01,Too many SMART Grown Bad Blocks (GBB) reported,
FAIL,nand_component/Storage 3559 NVMe Debug Log 4 Check/1,365,Storage 3559 NVMe Debug Log 4 Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:33:41,2018-03-12 17:33:42,00:00:01,Test Failed: Attribute upper limit exceeded,
FAIL,nand_component/Storage 8049 GBB Count Check/1,366,Storage 8049 GBB Count Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:38:30,2018-03-12 17:38:32,00:00:01,Too many SMART Grown Bad Blocks (GBB) reported,
FAIL,nand_component/Storage 3559 NVMe Debug Log 4 Check/1,367,Storage 3559 NVMe Debug Log 4 Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:40:04,2018-03-12 17:40:05,00:00:01,Test Failed: Attribute upper limit exceeded,
FAIL,nand_component/Storage 8049 GBB Count Check/1,368,Storage 8049 GBB Count Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:44:53,2018-03-12 17:44:54,00:00:01,Too many SMART Grown Bad Blocks (GBB) reported,
FAIL,nand_component/Storage 3559 NVMe Debug Log 4 Check/1,369,Storage 3559 NVMe Debug Log 4 Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:44:57,2018-03-12 17:44:58,00:00:01,Test Failed: Attribute upper limit exceeded,
FAIL,nand_component/Storage 8049 GBB Count Check/1,370,Storage 8049 GBB Count Check,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 17:48:16,2018-03-12 17:48:17,00:00:01,Too many SMART Grown Bad Blocks (GBB) reported,
