# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,29,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 11:44:42,2018-03-12 11:59:43,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,30,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 15:11:28,2018-03-12 15:51:44,00:40:15,Test returned unknown error code: 3,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,31,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 20:14:30,2018-03-12 20:14:31,00:00:00,Trained link width does not match specification,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,32,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 09:17:30,2018-03-13 09:17:31,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,33,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 09:33:18,2018-03-13 09:33:30,00:00:11,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,34,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 09:39:39,2018-03-13 09:39:40,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,35,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 09:50:40,2018-03-13 09:50:52,00:00:11,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,36,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 09:57:01,2018-03-13 09:57:02,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,37,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 11:04:32,2018-03-13 11:04:44,00:00:11,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,38,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 11:10:55,2018-03-13 11:10:56,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
FAIL,coordinated_sleep_S0i/Wait for ARM to sleep/24,39,Wait for ARM to sleep,0,0,0,0,"""/usr/local/bin/OSDPowerStateMonitor monitor --timeout 310 --desiredIntel 1""",(null),3,0,0,2018-03-13 11:11:48,2018-03-13 11:16:58,00:05:10,Process 1346 exited with code 3,coordinated_sleep_S0i/coordinated_sleep_S0i/Release Idle Sleep Assertion/Wait for ARM to sleep
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,40,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 11:25:19,2018-03-13 11:25:31,00:00:11,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,41,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 11:35:01,2018-03-13 11:35:02,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,42,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 14:11:56,2018-03-13 14:12:08,00:00:11,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,43,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 14:45:45,2018-03-13 14:45:46,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
TIMEOUT,coordinated_sleep_G3S/Transition Intel into G3S/7,44,Transition Intel into G3S,0,0,0,0,"""/usr/bin/pmset sleepnow""",com.apple.osdiags.earthbound,-2,0,0,2018-03-13 14:52:07,2018-03-13 14:54:15,00:02:08,/usr/bin/pmset sleepnow timed out,coordinated_sleep_G3S/coordinated_sleep_G3S/Transition Intel into G3S
TIMEOUT,coordinated_sleep_G3S/Wait for ARM to sleep/7,45,Wait for ARM to sleep,0,0,0,0,"""/usr/local/bin/OSDPowerStateMonitor monitor --timeout 310 --desiredIntel 5""",com.apple.osdiags.earthbound,-2,0,0,2018-03-13 14:56:06,2018-03-13 15:01:16,00:05:10,Process 3267 timed out,coordinated_sleep_G3S/coordinated_sleep_G3S/Release Idle Sleep Assertion/Wait for ARM to sleep
